sweep,family,instance,formulation,solver,arm,rep,commodities,sources,per_source,iterations,columns,objective,lower_bound,optimal,exit,t_tot,t_lp,t_pr,t_sp,bounded_enabled,cut,priced,cut_rate_pct,per_price_us
gridplanar_path_tree,grid,grid4,path,copt-gpu,on,rep3,100,63,1.5873015873015872,8,237,3031695.001622,3031693.996566,1,gap,1.478,1.474,0.002,0.0,1,596,756,78.83597883597884,2.6455026455026456
gridplanar_path_tree,grid,grid4,tree,copt-gpu,off,rep1,100,63,1.5873015873015872,12,220,3031712.000015,3031657.510091,1,gap,2.053,2.047,0.004,0.0,0,0,1071,0.0,3.734827264239029
gridplanar_path_tree,grid,grid4,tree,copt-gpu,off,rep2,100,63,1.5873015873015872,12,220,3031712.000015,3031657.510091,1,gap,2.075,2.07,0.003,0.0,0,0,1071,0.0,2.8011204481792715
gridplanar_path_tree,grid,grid4,tree,copt-gpu,off,rep3,100,63,1.5873015873015872,12,220,3031712.000015,3031657.510091,1,gap,2.116,2.107,0.007,0.0,0,0,1071,0.0,6.5359477124183005
gridplanar_path_tree,grid,grid4,tree,copt-gpu,on,rep1,100,63,1.5873015873015872,12,220,3031712.000015,3031659.944717,1,gap,2.104,2.1,0.003,0.0,1,846,1071,78.99159663865547,2.8011204481792715
gridplanar_path_tree,grid,grid4,tree,copt-gpu,on,rep2,100,63,1.5873015873015872,12,220,3031712.000015,3031659.944717,1,gap,2.064,2.054,0.008,0.0,1,846,1071,78.99159663865547,7.469654528478058
gridplanar_path_tree,grid,grid4,tree,copt-gpu,on,rep3,100,63,1.5873015873015872,12,220,3031712.000015,3031659.944717,1,gap,2.105,2.099,0.004,0.0,1,846,1071,78.99159663865547,3.734827264239029
gridplanar_path_tree,grid,grid5,path,copt-gpu,off,rep1,100,83,1.2048192771084338,10,271,5049688.500001,5049682.6816,1,gap,1.8,1.794,0.003,0.001,0,0,1162,0.0,2.5817555938037864
gridplanar_path_tree,grid,grid5,path,copt-gpu,off,rep2,100,83,1.2048192771084338,9,272,5049865.000001,5049438.1816,1,gap,1.642,1.636,0.004,0.001,0,0,996,0.0,4.016064257028113
gridplanar_path_tree,grid,grid5,path,copt-gpu,off,rep3,100,83,1.2048192771084338,10,270,5049697.25,5049593.177137,1,gap,1.852,1.846,0.004,0.001,0,0,1079,0.0,3.7071362372567194
gridplanar_path_tree,grid,grid5,path,copt-gpu,on,rep1,100,83,1.2048192771084338,10,272,5049697.0,5049608.162788,1,gap,1.873,1.865,0.006,0.001,1,831,1079,77.01575532900834,5.560704355885079
gridplanar_path_tree,grid,grid5,path,copt-gpu,on,rep2,100,83,1.2048192771084338,10,269,5049695.000001,5049647.248883,1,gap,1.787,1.781,0.003,0.001,1,834,1079,77.2937905468026,2.7803521779425395
gridplanar_path_tree,grid,grid5,path,copt-gpu,on,rep3,100,83,1.2048192771084338,9,272,5049865.000001,5049442.856204,1,gap,1.651,1.645,0.004,0.001,1,749,996,75.20080321285141,4.016064257028113
